timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1481269123941449,1,0,-3,-1,-3,-2,0,-1
1481269123941449,0,-1,-2,-1,0,-1,0,2
1481269123949541,0,0,-3,-2,-1,-1,-1,0
1481269123949541,0,-1,0,1,0,-1,0,-1
1481269123958518,-3,-2,0,0,2,0,-4,-4
1481269123958518,-1,-2,-2,-1,-1,0,0,0
1481269123971511,-2,0,-1,1,0,-2,0,0
1481269123971511,2,-1,-2,-2,0,-2,1,0
1481269123980500,-1,-1,0,-2,0,-1,-1,0
1481269123980500,-3,-2,1,1,-2,0,-1,-4
1481269123986569,-4,-4,1,1,2,-1,-1,-2
1481269123986569,-1,-3,0,1,-2,1,1,0
1481269124001448,0,1,0,0,-1,-2,2,0
1481269124001448,-1,-3,-3,-2,0,2,0,0
1481269124008514,-1,-2,0,0,0,0,0,-1
1481269124008514,-1,-3,0,0,1,-1,-2,-2
1481269124017450,-2,-1,0,2,0,-2,-1,-3
1481269124017450,1,-1,1,0,0,-3,-1,-3
1481269124031962,1,0,0,-1,-1,-2,-3,-1
1481269124031962,0,-1,1,1,-1,0,0,0
1481269124040062,-2,-3,0,-3,0,0,-1,1
1481269124040062,-4,-4,3,4,1,0,-2,-1
1481269124046093,-1,-1,0,0,0,1,1,1
1481269124046093,-1,-1,-3,0,-3,-1,-1,0
1481269124063026,-2,-2,-1,-1,0,1,1,-3
1481269124063026,1,0,-1,-1,1,-1,0,-2
1481269124069031,0,-1,-5,-5,-2,1,1,0
1481269124069031,-2,0,1,1,0,2,-3,-3
1481269124078027,0,-1,-1,-1,-1,-1,0,3
1481269124078027,0,-1,-1,0,1,-1,-1,-2
1481269124091137,1,-1,0,-1,-1,-2,0,-2
1481269124091137,0,1,-1,-2,-2,-1,-1,-2
1481269124100094,-1,-1,-2,-1,-2,-1,-2,-1
1481269124100094,0,-1,0,-3,-2,0,0,-1
1481269124106033,0,0,0,0,-1,-1,0,-3
1481269124106033,0,-1,-1,-2,0,0,-1,-1
1481269124121545,-4,-2,1,2,0,-1,-1,-1
1481269124121545,-1,-1,-1,-1,-2,0,2,3
1481269124129046,-2,-2,-1,0,-2,-2,-2,1
1481269124129046,-1,-2,-2,-1,0,-2,-1,-1
1481269124138083,-2,0,-1,-3,0,0,0,0
1481269124138083,-1,-2,-1,-1,-1,-2,-2,-3
1481269124151087,-1,-1,0,-3,-1,0,0,-1
1481269124151087,0,-1,-1,-1,-2,-2,-1,0
1481269124160156,-1,-1,-1,-1,1,-1,-2,0
1481269124160156,-1,-1,-1,0,-1,1,0,0
1481269124166155,0,-1,-2,-1,-1,-1,-1,0
1481269124166155,-4,-4,0,-1,1,0,0,-1
1481269124181175,0,0,-1,0,0,-2,-1,-1
1481269124181175,-2,2,-3,-3,-1,-1,-1,-2
1481269124189088,0,0,-2,-1,1,0,-2,-2
1481269124189088,0,-2,0,-1,1,-1,1,1
1481269124198090,-1,0,2,3,0,0,1,-1
1481269124198090,0,-3,-2,-2,-1,1,0,0
1481269124211090,-2,-1,-2,-2,-3,-2,-1,-1
1481269124211090,3,0,-4,1,0,-3,-3,0
1481269124220647,-2,0,-1,-2,0,-1,-1,-3
1481269124220647,1,-1,-1,-1,-2,0,-1,-1
1481269124226650,2,1,-1,-2,-2,-1,-1,-1
1481269124226650,-2,-2,0,-1,1,0,-1,3
1481269124241589,0,-3,-2,-2,1,0,0,1
1481269124241589,-2,0,0,0,1,-2,-2,0
1481269124248589,0,-2,-1,-1,-1,1,-2,-1
1481269124248589,-2,2,0,0,-2,-1,0,-2
1481269124257655,-2,-1,1,-3,-1,-1,1,0
1481269124257655,-2,-2,3,2,0,-1,0,-1
1481269124271586,-2,-2,-1,1,-1,0,1,-1
1481269124271586,-1,-1,-1,0,-1,0,-2,-1
1481269124280589,-1,-2,0,2,-2,0,-2,0
1481269124280589,-1,-3,-2,0,0,0,-1,0
1481269124286587,0,-2,0,-2,-1,0,-1,1
1481269124286587,1,0,0,-1,-1,0,0,-2
1481269124301588,2,2,-3,-3,-3,-1,0,0
1481269124301588,-3,-2,1,0,-1,-2,-2,0
1481269124308656,-5,-1,2,6,2,-2,-1,-3
1481269124308656,0,-1,-2,-1,-1,-1,0,0
1481269124317592,1,-2,-2,-2,-3,1,-2,-1
1481269124317592,-1,-4,-1,-2,0,0,1,-3
1481269124340317,0,-2,-1,-2,-2,-2,-1,-1
1481269124340317,0,0,0,-2,-1,-3,0,-2
1481269124341312,-2,0,0,-2,-1,0,-2,0
1481269124341312,-1,2,-3,-2,-2,-2,-1,2
1481269124346379,-1,-1,-4,-2,-3,-2,-1,1
1481269124346379,-2,-1,1,-1,-1,-1,1,0
1481269124361379,3,0,-2,-3,-1,-1,0,-1
1481269124361379,-2,-3,0,-2,1,0,-2,-4
1481269124369375,1,-1,-1,-1,-1,0,-1,1
1481269124369375,0,-3,-2,2,1,-1,0,-2
1481269124378347,-2,-1,-1,0,0,-2,-1,-2
1481269124378347,1,-1,-1,-2,-1,-1,-1,2
1481269124391313,1,-3,0,0,-2,1,0,1
1481269124391313,-2,-3,0,-2,-4,0,-3,-2
1481269124400314,0,0,-1,-1,-2,-2,1,-1
1481269124400314,-1,0,0,0,1,-1,-1,-2
1481269124406315,0,-1,0,-2,-2,-2,1,-1
1481269124406315,1,-1,0,0,0,-1,0,-2
1481269124421875,-2,-2,0,1,0,0,-1,1
1481269124421875,1,0,1,-2,-2,0,0,-1
1481269124429370,0,-1,2,-2,2,1,-3,-1
1481269124429370,-2,0,0,-1,0,-1,-1,0
1481269124437831,-2,-2,1,2,-1,-1,0,-2
1481269124437831,-1,-2,-1,0,0,-1,-2,0
1481269124451895,-2,-1,-1,0,0,1,-2,-1
1481269124451895,0,-1,-2,-3,0,0,-1,-1
1481269124460898,-1,-3,0,-3,0,-1,-1,0
1481269124460898,0,-1,-1,0,-1,0,2,-1
1481269124466894,0,-2,0,0,-1,-3,1,-3
1481269124466894,0,0,-2,-2,0,-1,-2,-1
1481269124480918,1,0,-2,1,0,-1,0,1
1481269124480918,-2,-3,-1,-1,-1,-1,1,-1
1481269124488926,-1,-2,-1,0,-1,-1,-2,0
1481269124488926,-2,-2,-3,-2,-1,0,-2,1
1481269124503835,2,-1,-1,-2,-1,1,-1,-1
1481269124503835,0,-1,0,1,0,-1,-1,0
1481269124511899,-2,-1,0,1,-1,0,0,-1
1481269124511899,-2,-4,0,-2,0,-1,0,2
1481269124527351,-1,-1,-1,-1,1,1,-1,-1
1481269124527351,2,-1,-1,-4,-2,-1,-1,0
1481269124527850,0,-1,-2,-2,1,-2,-1,-1
1481269124527850,-2,0,-3,1,1,0,-2,-2
1481269124541927,-2,-2,-2,0,-1,-3,-2,-2
1481269124541927,0,-1,-1,0,-2,-2,-2,0
1481269124549036,0,-1,-3,-3,-1,-1,1,4
1481269124549036,-1,-1,-1,0,-1,0,1,0
1481269124563946,-1,1,-1,-1,-2,-1,0,-1
1481269124563946,-2,0,-2,-1,-1,-1,0,-2
1481269124579943,-1,-2,-1,-1,-1,-2,-3,-1
1481269124579943,1,-2,-1,0,-1,0,0,1
1481269124586944,0,-3,1,0,-1,-1,0,-1
1481269124586944,-2,-3,-1,-2,-2,-1,1,0
1481269124587946,-2,-1,0,-1,0,0,1,-1
1481269124587946,-2,-1,1,-3,-2,-2,-1,0
1481269124600947,1,2,0,0,-3,-1,-1,0
1481269124600947,-5,-1,1,0,0,0,-2,-2
1481269124616944,0,0,0,-1,-1,0,-1,-1
1481269124616944,0,-3,-4,-3,0,1,-3,-2
1481269124624482,2,-4,-1,1,0,-2,-3,-1
1481269124624482,1,1,-1,0,1,0,0,0
1481269124631454,-2,0,3,-2,-1,0,-2,-1
1481269124631454,-4,-2,1,0,-2,-1,-2,-5
1481269124646958,-3,1,0,-3,-1,-2,0,-2
1481269124646958,0,-3,-1,-1,2,-1,1,-1
1481269124647960,-2,-2,-2,-1,-2,-1,1,0
1481269124647960,0,-1,2,0,-3,0,0,-3
1481269124661051,0,-2,-1,-1,-2,1,0,-2
1481269124661051,1,0,-2,-3,-1,-1,-1,1
1481269124668963,0,0,-2,1,0,0,2,-2
1481269124668963,1,-2,1,2,0,-3,1,0
1481269124683960,-3,-2,1,0,-1,1,-1,-3
1481269124683960,-1,-1,-2,-3,-2,-1,0,-1
1481269124690960,2,-1,0,0,-2,-2,-2,2
1481269124690960,-3,-2,1,1,-2,1,0,-2
1481269124706961,-1,-1,0,2,1,0,-1,0
1481269124706961,1,0,-2,0,-2,-1,-1,1
1481269124707961,-2,-1,-1,-1,-1,-2,-1,1
1481269124707961,2,0,0,-2,-2,0,1,0
1481269124721468,-1,-3,-1,-1,-1,-1,1,2
1481269124721468,-1,-2,0,2,0,-1,-2,-2
1481269124728968,1,1,-1,-2,0,-1,0,-2
1481269124728968,-2,-2,-2,-1,-1,-1,-1,1
1481269124743976,-3,0,2,1,1,-1,0,1
1481269124743976,-1,-2,-1,-1,0,0,-1,-1
1481269124751977,-2,-5,-1,1,1,1,1,1
1481269124751977,3,3,0,0,0,0,-2,-1
1481269124766989,-1,-1,0,-1,0,-2,-1,-2
1481269124766989,-1,1,-1,1,-2,-1,-1,-2
1481269124767979,-2,-2,-2,0,0,0,-2,0
1481269124767979,0,0,-2,-5,0,-1,0,1
1481269124780979,-1,-1,-2,-3,0,-2,-3,0
1481269124780979,-4,-1,1,-1,-1,0,-3,-2
