0.18005,-0.0435429,0.0908928,-0.596266
0.38418,-0.0438144,0.092353,-0.595315
0.57722,-0.0464382,0.093849,-0.595103
0.78,-0.0398788,0.0918869,-0.596102
0.99204,-0.0270853,0.0881352,-0.593296
1.18608,-0.0356008,0.0882164,-0.594482
1.38112,-0.0406808,0.0861183,-0.599132
1.58265,-0.0470683,0.0845132,-0.601317
1.78517,-0.0723267,0.0779664,-0.602304
1.9802,-0.209443,0.0731166,-0.605724
2.18272,-0.535078,0.0751439,-0.614566
2.38525,-0.77392,0.0752437,-0.614235
2.58778,-0.995203,0.0927744,-0.616683
2.78299,-1.22506,0.132554,-0.624439
2.98486,-1.37444,0.168919,-0.644169
3.18797,-1.47886,0.187008,-0.680933
3.38411,-1.61375,0.194956,-0.729136
3.58467,-1.67153,0.197822,-0.758532
3.78742,-1.65595,0.208711,-0.757813
3.98394,-1.62426,0.203012,-0.749283
4.18661,-1.56659,0.203586,-0.720866
4.38781,-1.53897,0.186792,-0.708618
4.59037,-1.2608,0.155356,-0.681931
4.78637,-0.934213,0.130767,-0.636667
4.99074,-0.505669,0.0894457,-0.592593
5.19022,-0.243618,0.052362,-0.574386
5.38687,-0.0542071,0.0273767,-0.570184
5.589,0.0385485,0.0292909,-0.57782
5.78969,0.0242647,0.035843,-0.57637
5.98606,0.0289707,0.0307326,-0.575725
6.1887,0.0937335,0.0192356,-0.565496
6.39175,0.239356,-0.0137716,-0.538095
6.59231,0.397208,-0.0462848,-0.525946
6.78896,0.581057,-0.0617965,-0.532838
6.99062,0.750816,-0.0864796,-0.539619
7.19373,0.943401,-0.121354,-0.558147
7.39593,1.08459,-0.14631,-0.573983
7.59068,1.21014,-0.152747,-0.586792
7.79282,1.30797,-0.161007,-0.594526
7.99601,1.41123,-0.176752,-0.615924
8.19218,1.44788,-0.181082,-0.623047
8.39344,1.39418,-0.164283,-0.622753
8.59616,1.31031,-0.142348,-0.621413
8.79198,1.16598,-0.109781,-0.604215
8.99318,0.966168,-0.0712309,-0.583347
9.19581,0.793018,-0.0311081,-0.563508
9.39854,0.548999,0.0397782,-0.566563
9.5951,0.31169,0.0848092,-0.579149
9.79596,0.127251,0.0930778,-0.595357
9.99864,-0.0126776,0.0918425,-0.618312
10.1943,-0.0485377,0.100121,-0.609159
10.3974,-0.0576186,0.110099,-0.609776
