timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1481274027311187,-2,-2,-3,3,-21,-3,-2,-2
1481274027326166,-1,0,0,-2,1,1,1,1
1481274027326166,-1,-3,2,7,4,-5,-3,-2
1481274027334120,-4,-1,-3,-8,-27,4,2,-1
1481274027334120,0,-1,3,2,14,-1,-2,-1
1481274027349699,0,-1,2,1,-6,-3,-5,-2
1481274027349699,-1,0,-3,0,32,4,1,0
1481274027350698,1,-1,-1,-5,-15,4,1,1
1481274027350698,1,-1,-2,0,9,0,-3,-1
1481274027364202,0,2,0,1,5,-5,-1,1
1481274027364202,1,-2,0,0,-4,-2,-1,-1
1481274027371094,1,1,-3,-2,-7,-1,2,0
1481274027371094,-3,-1,-3,-2,0,-3,0,-1
1481274027387026,-1,-1,-1,-4,16,-1,6,-2
1481274027387026,-2,-1,-2,-7,-22,-2,-2,-1
1481274027394057,1,-1,3,10,-15,-4,1,-1
1481274027394057,-1,-3,-3,-7,-10,1,2,-2
1481274027417098,-1,0,0,-2,-13,-8,-4,0
1481274027417098,1,2,2,4,33,3,-2,2
1481274027433074,-2,-1,-1,-4,-3,-2,-2,0
1481274027433074,0,1,1,6,11,2,1,-1
1481274027435025,-2,-2,-1,-1,-11,-2,-2,-2
1481274027435025,-3,1,1,-1,-8,2,5,-1
1481274027436026,-1,0,-3,-6,-8,-3,2,1
1481274027436026,-2,1,0,1,13,2,2,-2
1481274027446028,-1,-2,-2,1,3,-1,-2,-1
1481274027446028,1,0,0,-2,-14,-4,-1,2
1481274027454034,-1,-2,-2,-3,1,0,-1,2
1481274027454034,-2,-1,0,-4,-17,-2,-2,-2
1481274027469942,-1,0,-2,1,15,3,-1,0
1481274027469942,0,-1,-1,0,-13,3,0,-1
1481274027469942,0,-1,0,-5,18,-9,0,-2
1481274027469942,2,-1,-2,-4,-14,-2,-1,1
1481274027491964,-1,-3,0,4,1,5,2,-2
1481274027491964,-1,-2,0,2,17,-3,-5,-2
1481274027492893,0,-3,-2,-8,-25,-2,-1,0
1481274027492893,-1,-1,-2,3,0,4,0,1
1481274027506898,0,1,1,-1,4,-5,-1,0
1481274027506898,-2,0,-3,-6,-15,0,-1,-1
1481274027513900,-1,-2,0,1,2,0,-2,-2
1481274027513900,2,-1,-3,-5,-1,1,0,1
1481274027529896,2,-1,-1,-4,-10,-1,-4,-1
1481274027529896,-1,0,0,5,-14,-4,-6,-1
1481274027529896,-1,1,0,0,24,10,5,-1
1481274027529896,-2,-1,-1,-1,-15,-2,-6,-4
1481274027544985,1,-1,-3,2,-14,-11,2,0
1481274027544985,2,1,0,2,49,10,3,0
1481274027551402,-2,-4,1,2,-11,-3,-4,1
1481274027551402,-1,-5,-2,-3,1,-1,-2,-1
1481274027566529,0,0,0,-2,-15,-6,-1,-2
1481274027566529,0,0,-1,-3,-3,-8,-3,-1
1481274027574468,1,0,1,1,-7,2,0,0
1481274027574468,0,1,-1,-6,15,1,1,-1
1481274027590439,-3,-3,-3,1,-22,-2,-2,-2
1481274027590439,0,-1,1,1,24,3,-1,-1
1481274027596439,-3,1,-3,-4,5,2,-2,-3
1481274027596439,0,-1,0,-1,-10,-10,-1,-1
1481274027605438,-2,-4,1,4,14,1,-1,0
1481274027605438,-1,0,-2,-2,-11,-1,-1,-1
1481274027611512,-2,1,1,2,21,-2,-2,0
1481274027611512,-1,0,0,4,4,3,0,1
1481274027626542,0,-1,-2,-4,4,4,-1,2
1481274027626542,-1,-5,-1,-7,-4,-7,-3,-2
1481274027634441,0,0,-3,12,29,-1,-3,-1
1481274027634441,-2,0,-1,-13,-20,-6,0,1
1481274027658022,1,0,0,2,21,2,-1,-2
1481274027658022,-2,-3,-2,1,-35,-2,-1,2
1481274027658523,-1,-1,0,-7,-14,-4,0,1
1481274027658523,-1,-2,0,7,13,7,8,0
1481274027664025,-3,0,-1,-3,-8,-1,0,-1
1481274027664025,0,-1,-2,-5,-2,0,1,0
1481274027671831,1,-1,0,0,-6,-8,-2,-1
1481274027671831,-1,-1,1,7,21,9,-1,-1
1481274027686838,-2,-1,-1,-5,-24,-5,1,-1
1481274027686838,-1,0,-3,-6,2,0,1,0
1481274027693902,1,1,-1,13,58,4,2,1
1481274027693902,0,-2,-2,-3,-27,0,-2,-3
1481274027711833,0,-2,-2,-1,-17,-4,-1,-3
1481274027711833,-2,0,1,3,36,2,0,-1
1481274027716903,-2,-2,-3,-10,-31,-1,-1,0
1481274027716903,-2,0,2,4,9,-3,-5,-1
1481274027723904,-1,0,-2,-1,11,13,6,2
1481274027723904,0,-2,-1,-1,-23,-2,2,-2
1481274027731835,-4,-2,-1,-7,-9,-1,-2,-3
1481274027731835,-2,0,0,2,2,-3,0,1
1481274027746833,-2,1,2,-1,-10,-4,-6,0
1481274027746833,-3,-1,-3,-5,-9,-1,-2,2
1481274027754341,-1,-1,1,-2,-19,-4,-2,-3
1481274027754341,0,0,-1,2,8,0,0,0
1481274027770869,1,1,-2,-4,9,-5,-3,-2
1481274027770869,-2,-1,1,4,2,3,3,0
1481274027771869,-1,-2,-1,-5,-41,-2,0,1
1481274027771869,0,-1,-4,4,58,5,-3,-2
1481274027783870,-2,-4,-2,-5,8,2,-2,-1
1481274027783870,0,2,-2,2,-6,-5,-2,-2
1481274027791869,-1,0,0,-5,-10,-3,-3,0
1481274027791869,-1,-2,-1,-4,-13,0,2,0
1481274027806871,-2,-1,-1,1,-10,1,2,0
1481274027806871,-2,-1,-1,0,24,-2,-3,-2
1481274027821870,1,-1,-1,3,7,4,3,0
1481274027821870,-1,-2,0,-3,-26,-2,-1,-2
1481274027829872,1,-1,-1,3,36,1,-1,0
1481274027829872,-1,-1,0,-4,-26,-5,1,0
1481274027829872,-1,1,-2,-2,15,4,0,-1
1481274027829872,0,-1,3,2,-1,-6,-1,1
1481274027844872,0,-2,-1,-11,-7,-1,0,-2
1481274027844872,0,-1,-4,1,4,1,-1,0
1481274027851381,-2,-2,0,-8,-17,-6,-4,-1
1481274027851381,0,2,-1,5,10,1,-2,0
1481274027866891,-4,-1,0,8,4,2,1,0
1481274027866891,1,-2,0,-5,-16,2,9,2
1481274027881965,-1,1,-6,-8,28,-7,-5,-5
1481274027881965,-2,1,-2,-6,28,-1,-2,-2
1481274027889889,-1,-1,0,3,-3,1,0,0
1481274027889889,1,-1,0,0,-2,-2,-6,-2
1481274027889889,-1,-3,2,4,-19,2,-1,0
1481274027889889,0,-1,-2,-7,-24,-5,0,-1
