timestamp,x,y,z
1481309332361039,-0.289551,0.301758,0.931641
1481309332384042,-0.297363,0.300293,0.932617
1481309332399060,-0.307617,0.295898,0.924805
1481309332421078,-0.302734,0.29248,0.928223
1481309332435581,-0.294922,0.300293,0.926758
1481309332460583,-0.297852,0.300293,0.917969
1481309332481086,-0.301758,0.295898,0.923828
1481309332495094,-0.29541,0.29834,0.921387
1481309332547097,-0.29541,0.291504,0.918945
1481309332547097,-0.29834,0.296875,0.914063
1481309332561098,-0.294434,0.295898,0.918457
1481309332577101,-0.297363,0.293457,0.918945
1481309332600116,-0.296875,0.300293,0.915039
1481309332621118,-0.295898,0.293945,0.915039
1481309332637119,-0.297363,0.297363,0.919922
1481309332660121,-0.29248,0.29248,0.91748
1481309332681129,-0.293945,0.297363,0.914063
1481309332697135,-0.294434,0.29541,0.914551
1481309332720137,-0.288574,0.306152,0.919922
1481309332741139,-0.293945,0.303711,0.918457
1481309332757141,-0.305664,0.292969,0.912598
1481309332780149,-0.301758,0.283203,0.910156
1481309332801159,-0.29541,0.288574,0.912598
1481309332817161,-0.314941,0.280273,0.911621
1481309332840164,-0.296875,0.279297,0.914551
1481309332861164,-0.283691,0.275879,0.910645
1481309332877163,-0.280273,0.295898,0.911621
1481309332899766,-0.291992,0.306641,0.918945
1481309332920806,-0.296387,0.302734,0.919434
1481309332938736,-0.296875,0.287598,0.924316
1481309332959750,-0.298828,0.296387,0.921875
1481309332981270,-0.306152,0.311035,0.931152
1481309332997859,-0.299805,0.310547,0.928223
1481309333019863,-0.304688,0.308105,0.929199
1481309333042863,-0.310059,0.304199,0.925293
1481309333057863,-0.297363,0.297363,0.92334
1481309333080444,-0.287109,0.300293,0.915527
1481309333102339,-0.283203,0.316895,0.918457
1481309333117240,-0.293457,0.32666,0.93457
1481309333140238,-0.295898,0.341797,0.930176
1481309333162241,-0.303711,0.316895,0.918945
1481309333177240,-0.305664,0.306152,0.918945
1481309333199762,-0.314453,0.325195,0.931152
1481309333221845,-0.315918,0.330566,0.929199
1481309333236758,-0.312988,0.325684,0.936523
1481309333259765,-0.318848,0.306641,0.927734
1481309333281781,-0.311523,0.303223,0.929199
1481309333297411,-0.291992,0.323242,0.929199
1481309333319482,-0.29248,0.324707,0.915527
1481309333341413,-0.29541,0.316895,0.956543
1481309333357414,-0.291992,0.276367,0.989258
1481309333379517,-0.278809,0.291016,1.00391
1481309333401727,-0.282715,0.317871,1.01367
1481309333416729,-0.280762,0.33252,1.05615
1481309333439730,-0.274414,0.318359,1.06396
1481309333461732,-0.274414,0.324219,1.10156
1481309333475735,-0.278809,0.303223,1.11279
1481309333499265,-0.271973,0.287598,1.11768
1481309333522266,-0.262207,0.34375,1.09277
1481309333536268,-0.275391,0.376465,1.08008
1481309333558268,-0.267578,0.371094,1.05518
1481309333582293,-0.273438,0.342773,1.03955
1481309333596285,-0.233398,0.330566,1.03955
1481309333618286,-0.205566,0.359863,1.021
1481309333642288,-0.208008,0.384766,1.01123
1481309333656289,-0.212402,0.338379,1
1481309333678290,-0.17334,0.288574,0.97998
1481309333702305,-0.138672,0.296387,0.970215
1481309333716305,-0.097168,0.341797,0.932129
1481309333738306,-0.074707,0.379883,0.904785
1481309333762307,-0.0532227,0.366211,0.913574
1481309333776308,-0.0141602,0.326172,0.910645
1481309333798817,0.0205078,0.321289,0.905273
1481309333821820,0.0751953,0.352051,0.879395
1481309333836322,0.125,0.386719,0.858398
1481309333858853,0.151855,0.396484,0.847656
1481309333882328,0.188477,0.384277,0.82666
1481309333896330,0.218262,0.357422,0.805176
1481309333918833,0.250488,0.350098,0.789063
1481309333942335,0.314453,0.338867,0.770996
1481309333956337,0.391113,0.348633,0.768066
1481309333979341,0.41748,0.375,0.755859
1481309334002343,0.430176,0.333984,0.742676
1481309334016345,0.48291,0.289551,0.72998
1481309334038849,0.563965,0.280273,0.71582
1481309334061850,0.649414,0.254883,0.672363
1481309334084854,0.65918,0.234863,0.640137
1481309334098855,0.651855,0.20166,0.604492
1481309334121358,0.703125,0.187012,0.554688
1481309334136363,0.730957,0.134766,0.49707
1481309334158863,0.746582,0.0849609,0.442383
1481309334181367,0.767578,0.0610352,0.406738
1481309334204369,0.805664,0.0576172,0.361328
1481309334218870,0.825195,0.0244141,0.337891
1481309334241373,0.833984,-0.0336914,0.287598
1481309334264376,0.880859,-0.0961914,0.253906
1481309334278879,0.919434,-0.111328,0.216797
1481309334301381,0.910645,-0.118652,0.200195
1481309334324884,0.902832,-0.15625,0.171387
1481309334338886,0.912598,-0.177734,0.155762
1481309334362888,0.906738,-0.201172,0.121582
1481309334384392,0.937012,-0.233887,0.104004
1481309334407395,1.01904,-0.317871,0.0507813
1481309334421396,1.06494,-0.358398,0.0415039
1481309334444900,1.07764,-0.351074,0.0166016
1481309334458901,1.0752,-0.378418,-0.0151367
1481309334481405,1.11377,-0.427734,-0.0229492
1481309334504407,1.14014,-0.492676,-0.0327148
1481309334518908,1.11035,-0.545898,-0.0517578
1481309334540917,1.12646,-0.616699,-0.034668
1481309334563919,1.11816,-0.621094,-0.0375977
1481309334578920,1.00098,-0.548828,-0.0297852
1481309334600921,0.895996,-0.520508,-0.0410156
1481309334624435,0.855957,-0.5625,0.00146484
1481309334647022,0.77002,-0.599609,0.0820313
1481309334660944,0.619141,-0.675293,0.131836
1481309334683946,0.518555,-0.749512,0.143555
1481309334698945,0.576172,-0.698242,0.165527
1481309334724452,0.569824,-0.69043,0.145508
1481309334752932,0.505371,-0.680664,0.197266
1481309334758932,0.412598,-0.658203,0.244141
1481309334780932,0.366211,-0.643066,0.271484
1481309334803934,0.399414,-0.650391,0.290527
1481309334818935,0.424805,-0.660156,0.307617
1481309334849948,0.342285,-0.65625,0.349609
1481309334863949,0.287598,-0.625977,0.390625
1481309334879950,0.341797,-0.599609,0.36084
1481309334900951,0.362793,-0.602539,0.351074
1481309334924459,0.269531,-0.624512,0.416504
1481309334939043,0.126953,-0.589844,0.455566
1481309334960970,0.123535,-0.623535,0.458984
1481309334983970,0.108398,-0.662598,0.441895
1481309334998972,-0.0361328,-0.593262,0.445801
1481309335021548,-0.129395,-0.541992,0.449707
1481309335044078,-0.166992,-0.541504,0.461914
1481309335059058,-0.251465,-0.539063,0.501465
1481309335082060,-0.391602,-0.507324,0.553223
1481309335104128,-0.436035,-0.455566,0.560547
1481309335119109,-0.388672,-0.382324,0.529297
1481309335141591,-0.432617,-0.411133,0.584473
1481309335164661,-0.501953,-0.347168,0.607422
1481309335178592,-0.527832,-0.30127,0.606445
1481309335201601,-0.484375,-0.233398,0.594238
1481309335224674,-0.573242,-0.154785,0.657227
1481309335239179,-0.726563,-0.0839844,0.714355
1481309335261234,-0.761719,-0.109375,0.734375
1481309335284184,-0.721191,-0.0952148,0.691895
1481309335298181,-0.831543,-0.0322266,0.663574
1481309335321688,-1.02295,0.0444336,0.723633
1481309335343933,-1.07666,0.0380859,0.728027
1481309335359015,-1.07324,0.0756836,0.616211
1481309335381029,-1.14697,0.0849609,0.473145
1481309335404013,-1.24854,0.106934,0.371094
1481309335418937,-1.34131,0.12793,0.397949
1481309335441452,-1.3916,0.210449,0.378906
1481309335463452,-1.35596,0.247559,0.316895
1481309335478454,-1.13916,0.123535,0.331055
1481309335501455,-1.35303,0.0605469,0.0566406
1481309335523962,-1.14258,0.119629,0.556152
1481309335539090,-1.10498,0.34082,0.14209
1481309335561038,-1.31689,0.23584,-0.0952148
1481309335584021,-1.11572,-0.00244141,0.32959
1481309335599020,-1.28467,-0.0546875,0.217285
1481309335621600,-1.37451,-0.074707,0.19043
1481309335644126,-1.4126,-0.0795898,0.196289
1481309335659162,-1.33301,-0.144043,0.234375
1481309335681129,-1.28711,-0.214355,0.229492
1481309335712128,-1.34229,-0.313965,0.213379
1481309335719134,-1.32764,-0.352539,0.194336
1481309335741296,-1.18848,-0.424805,0.220703
1481309335763297,-1.10352,-0.444336,0.213867
1481309335778296,-1.17041,-0.508301,0.232422
1481309335801302,-1.16699,-0.617676,0.250488
1481309335823890,-1.07471,-0.674316,0.230469
1481309335838731,-0.931641,-0.722656,0.272461
1481309335861665,-0.918945,-0.700684,0.230469
1481309335883732,-0.969238,-0.663086,0.20166
1481309335898735,-0.798828,-0.725098,0.294922
1481309335921745,-0.652344,-0.835938,0.366699
1481309335943336,-0.742188,-0.953613,0.382324
1481309335958342,-0.658691,-0.953613,0.402344
1481309335981409,-0.491211,-0.766602,0.348145
1481309336003410,-0.48877,-0.826172,0.451172
1481309336018340,-0.50293,-1.00586,0.522949
1481309336040855,-0.382813,-1.00781,0.538574
1481309336064088,-0.341309,-0.769043,0.547363
1481309336078857,-0.354004,-0.677734,0.620117
1481309336100928,-0.24707,-0.652832,0.701172
1481309336123970,-0.101074,-0.513672,0.746582
1481309336138647,-0.124023,-0.430176,0.745117
1481309336161580,-0.074707,-0.294434,0.775879
1481309336183581,0.0488281,-0.0571289,0.774902
1481309336200581,0.0966797,0.0766602,0.782227
1481309336221593,0.134766,0.143555,0.76123
1481309336243677,0.158691,0.215332,0.822266
1481309336267676,0.187988,0.236816,0.774414
1481309336281678,0.261719,0.262695,0.724609
1481309336303749,0.289551,0.255859,0.746094
1481309336326260,0.321777,0.289063,0.745605
1481309336340854,0.361816,0.324219,0.702637
1481309336363855,0.395996,0.333496,0.694824
1481309336387787,0.460449,0.350586,0.697754
1481309336401789,0.468262,0.395508,0.654785
1481309336423868,0.457031,0.339355,0.684082
1481309336445968,0.528809,0.324219,0.65625
1481309336460899,0.550293,0.32373,0.627441
1481309336483914,0.546387,0.316895,0.620605
1481309336505902,0.57373,0.268066,0.619629
1481309336520902,0.632324,0.227051,0.600098
1481309336545422,0.614746,0.182129,0.605469
1481309336566423,0.631348,0.124023,0.570313
1481309336581424,0.646484,0.0551758,0.521484
1481309336603425,0.672852,-0.00537109,0.511719
1481309336626432,0.689941,-0.0107422,0.512207
1481309336641439,0.719238,-0.0351563,0.484375
1481309336663439,0.6875,-0.174316,0.444824
1481309336686524,0.637207,-0.280273,0.411621
1481309336701515,0.597656,-0.353516,0.383789
1481309336724024,0.587402,-0.308594,0.352051
1481309336748044,0.566895,-0.302734,0.312012
1481309336761044,0.5,-0.352051,0.271973
1481309336784091,0.400391,-0.424805,0.300293
1481309336806118,0.414551,-0.452637,0.303711
1481309336824141,0.523926,-0.453125,0.223145
1481309336844219,0.564941,-0.45752,0.20752
1481309336866221,0.428711,-0.46875,0.427734
1481309336882236,0.253906,-0.407227,0.499023
1481309336904223,0.266602,-0.413574,0.506348
1481309336926303,0.205566,-0.516602,0.540039
1481309336941413,-0.0332031,-0.62207,0.648438
1481309336963412,-0.0517578,-0.46582,0.676758
1481309336986484,-0.0214844,-0.296875,0.62207
1481309337001486,-0.188477,-0.372559,0.612793
1481309337025496,-0.38623,-0.399902,0.855957
1481309337047516,-0.342285,-0.21875,0.958496
1481309337061518,-0.333496,-0.0810547,0.92041
1481309337083589,-0.472168,-0.174805,0.794922
1481309337106586,-0.524414,-0.163086,0.758301
1481309337121548,-0.491211,0.0195313,0.833984
1481309337143591,-0.611328,0.251465,0.76709
1481309337166619,-0.740723,0.185059,0.720215
1481309337182592,-0.724121,0.131836,0.680176
1481309337203667,-0.666504,0.316895,0.608398
1481309337226600,-0.70752,0.469238,0.62793
1481309337243108,-0.760742,0.424805,0.594727
1481309337264113,-0.75,0.378418,0.656738
1481309337286186,-0.84082,0.569336,0.682617
1481309337303110,-0.92627,0.647949,0.635254
1481309337332192,-0.953613,0.484375,0.596191
1481309337346763,-0.905273,0.41748,0.583984
1481309337362713,-1.0708,0.629395,0.51709
1481309337383717,-1.3457,0.648926,0.51709
1481309337407718,-1.20703,0.380371,0.600098
1481309337422716,-1.1084,0.321777,0.540039
1481309337444059,-1.19824,0.388184,0.533691
1481309337468981,-1.32471,0.317871,0.697754
1481309337483982,-1.39404,0.237793,0.369141
1481309337504057,-1.46484,-0.0170898,0.500488
1481309337526571,-1.43164,-0.0566406,0.746582
1481309337542945,-1.47803,0.050293,0.626465
1481309337564024,-1.47754,-0.0825195,0.558105
1481309337586016,-1.36963,-0.182617,0.571289
1481309337602946,-1.39795,-0.193359,0.533691
1481309337624027,-1.44043,-0.26123,0.525391
1481309337654775,-1.36133,-0.410645,0.591309
1481309337662770,-1.29639,-0.43457,0.577637
1481309337683843,-1.29492,-0.577148,0.600098
1481309337706776,-1.20313,-0.580566,0.628906
1481309337722852,-1.15918,-0.444336,0.543457
1481309337743739,-1.08594,-0.518066,0.602051
1481309337766740,-1.01855,-0.560547,0.658691
1481309337782738,-0.96582,-0.688477,0.652344
1481309337803811,-0.912109,-0.577148,0.624512
1481309337826319,-0.804688,-0.293945,0.623047
1481309337843410,-0.712402,-0.260742,0.723633
1481309337863405,-0.602539,-0.134277,0.746094
1481309337887410,-0.589844,-0.192383,0.782227
1481309337902441,-0.556641,-0.0683594,0.686523
1481309337923917,-0.464355,0.193848,0.679199
1481309337946530,-0.329102,0.486816,0.681641
1481309337962436,-0.234375,0.57959,0.652344
1481309337983488,-0.211426,0.519043,0.620605
1481309338006510,-0.130371,0.49707,0.62793
1481309338030448,-0.0678711,0.580078,0.617188
1481309338051842,-0.0131836,0.632324,0.605957
1481309338065844,0.0366211,0.620605,0.581543
1481309338082773,0.0932617,0.605957,0.587891
1481309338111803,0.149414,0.597656,0.562012
1481309338126295,0.204102,0.646484,0.54541
1481309338142862,0.240723,0.669434,0.539551
1481309338164863,0.298828,0.606445,0.547363
1481309338185863,0.368652,0.54834,0.536621
1481309338209867,0.422852,0.547852,0.505371
1481309338225449,0.456543,0.546875,0.501953
1481309338245957,0.467285,0.525879,0.526367
1481309338262957,0.484863,0.477539,0.523926
1481309338284959,0.526367,0.431641,0.52832
1481309338306033,0.557129,0.359375,0.501953
1481309338328969,0.540039,0.268066,0.527832
1481309338345530,0.515625,0.170898,0.539063
1481309338366603,0.565918,0.0732422,0.578125
1481309338388552,0.617188,-0.0366211,0.583984
1481309338405533,0.687012,-0.20459,0.602539
1481309338426615,0.706543,-0.291016,0.608887
1481309338449120,0.674316,-0.263672,0.615723
1481309338471121,0.626953,-0.241699,0.626465
1481309338486122,0.577637,-0.287109,0.652344
1481309338525740,0.611328,-0.323242,0.663574
1481309338528240,0.671875,-0.272949,0.660156
1481309338546871,0.70166,-0.246094,0.650879
1481309338568942,0.713379,-0.265137,0.663574
1481309338584875,0.683594,-0.271973,0.680176
1481309338608872,0.668945,-0.248535,0.684082
1481309338628885,0.70752,-0.205566,0.659668
1481309338645040,0.686523,-0.164063,0.643066
1481309338666112,0.651855,-0.186523,0.645508
1481309338689044,0.704102,-0.1875,0.65918
1481309338705045,0.712402,-0.183105,0.668457
1481309338729124,0.660156,-0.172363,0.673828
1481309338749147,0.664551,-0.164063,0.685547
1481309338766147,0.724609,-0.143066,0.69043
1481309338786219,0.746582,-0.180176,0.683594
1481309338802150,0.712891,-0.215332,0.692871
1481309338825229,0.726074,-0.230469,0.697266
1481309338846321,0.75293,-0.220703,0.703613
1481309338869256,0.739258,-0.220703,0.699707
1481309338885254,0.714355,-0.223145,0.708984
1481309338914256,0.729492,-0.246094,0.71875
1481309338928834,0.77002,-0.286133,0.723145
1481309338945471,0.737793,-0.312988,0.708496
1481309338966486,0.711426,-0.356934,0.69873
1481309338988542,0.771484,-0.370117,0.703125
1481309339005475,0.78418,-0.350098,0.706543
1481309339028053,0.659668,-0.30957,0.665039
1481309339048577,0.557129,-0.323242,0.658203
1481309339065575,0.629395,-0.306152,0.638184
1481309339087579,0.640625,-0.192871,0.597656
1481309339108578,0.578613,-0.116211,0.543945
1481309339125585,0.544434,-0.123047,0.545898
1481309339147607,0.522461,-0.13916,0.528809
1481309339168680,0.533691,-0.0615234,0.512207
1481309339185609,0.51416,0.0595703,0.503418
1481309339207611,0.510254,0.123047,0.493164
1481309339229120,0.445801,0.135742,0.496094
1481309339244777,0.432617,0.114746,0.539551
1481309339267776,0.421875,0.150879,0.55957
1481309339288846,0.37207,0.115723,0.599121
1481309339304808,0.330078,0.154785,0.617676
1481309339327787,0.281738,0.231934,0.668457
1481309339357875,0.208008,0.218262,0.659668
1481309339364875,0.120605,0.0200195,0.679199
1481309339387874,0.0581055,-0.132813,0.740234
1481309339408875,0.0253906,-0.144531,0.781738
1481309339425385,-0.0405273,-0.118164,0.740723
1481309339447956,-0.129883,-0.149414,0.724609
1481309339469027,-0.194336,-0.231445,0.741211
1481309339484958,-0.300781,-0.337891,0.766113
1481309339507959,-0.360352,-0.413574,0.720215
1481309339528970,-0.372559,-0.460449,0.703125
1481309339545043,-0.453125,-0.416992,0.674805
1481309339568044,-0.611328,-0.515137,0.696777
1481309339589102,-0.702148,-0.588379,0.694824
1481309339605044,-0.708008,-0.657227,0.677246
1481309339629559,-0.709961,-0.655762,0.682129
1481309339649181,-0.727539,-0.460449,0.666504
1481309339665106,-0.958008,-0.47168,0.598633
1481309339688108,-1.08203,-0.566895,0.599609
1481309339709110,-1.01563,-0.502441,0.591797
1481309339725241,-1.09717,-0.274414,0.556641
1481309339747360,-1.31641,-0.331543,0.550781
1481309339768361,-1.32373,-0.320801,0.614258
1481309339785367,-1.07227,-0.316895,0.672363
1481309339807366,-1.17773,-0.262207,0.869141
1481309339828872,-1.43408,0.00683594,0.254883
1481309339844879,-1.74268,-0.0585938,0.558594
1481309339867882,-1.51611,0.0488281,0.960449
1481309339888884,-1.4248,0.266602,0.599609
1481309339904884,-1.51465,0.285645,0.588867
1481309339927898,-1.36426,0.321289,0.61084
1481309339948666,-1.27637,0.325195,0.609375
1481309339964668,-1.29443,0.364258,0.678711
1481309339987669,-1.23096,0.470215,0.671875
1481309340009672,-1.12598,0.54834,0.684082
1481309340031683,-1.04199,0.539551,0.73584
1481309340047895,-0.922852,0.510254,0.724609
1481309340069897,-0.875,0.654297,0.845215
1481309340091017,-0.854004,0.660156,0.875
1481309340107903,-0.770508,0.57373,0.929199
1481309340130410,-0.674805,0.502441,0.943848
1481309340151489,-0.655273,0.48291,0.992676
1481309340167419,-0.609863,0.42334,1.01416
1481309340189491,-0.527344,0.333008,1.0249
1481309340211419,-0.402832,0.302734,1.02881
1481309340226929,-0.318848,0.215332,1.05322
1481309340249436,-0.271484,0.120605,1.02148
1481309340272497,-0.213379,0.0317383,1.01855
1481309340287438,-0.140625,-0.00732422,0.995605
1481309340309440,-0.0375977,-0.0678711,0.942871
1481309340331959,0.0493164,-0.0834961,0.93457
1481309340348460,0.11084,-0.11377,0.880371
1481309340369530,0.13623,-0.202637,0.805176
1481309340392461,0.206055,-0.256348,0.744141
1481309340406525,0.24707,-0.259766,0.739746
1481309340429472,0.265137,-0.284668,0.708984
1481309340452484,0.249023,-0.289551,0.688965
1481309340466550,0.230469,-0.34375,0.700195
1481309340489550,0.253418,-0.346191,0.648438
1481309340511482,0.305664,-0.328125,0.662598
1481309340526991,0.369141,-0.366211,0.638672
1481309340550498,0.394043,-0.413574,0.635742
1481309340571501,0.418945,-0.407227,0.607422
1481309340586572,0.478027,-0.382324,0.557617
1481309340609501,0.505859,-0.342285,0.519531
1481309340632010,0.498535,-0.329102,0.488281
1481309340646590,0.504883,-0.307617,0.459961
1481309340670518,0.547852,-0.286621,0.439453
1481309340700530,0.587891,-0.283203,0.442871
1481309340706522,0.590332,-0.227539,0.436523
1481309340729536,0.583496,-0.197266,0.380859
1481309340751634,0.65918,-0.17627,0.356445
1481309340766545,0.706055,-0.164551,0.379395
1481309340789544,0.682129,-0.0712891,0.39209
1481309340811548,0.636719,0.00732422,0.395508
1481309340827057,0.619141,0.065918,0.40918
1481309340857191,0.683594,0.129395,0.405762
1481309340872188,0.686523,0.173828,0.405762
1481309340887262,0.588379,0.139648,0.414063
1481309340911190,0.544922,0.152832,0.412598
1481309340932198,0.572754,0.217285,0.416504
1481309340948710,0.512695,0.229492,0.442383
1481309340969781,0.41748,0.212891,0.497559
1481309340991716,0.409668,0.161621,0.55127
1481309341006714,0.345703,0.206055,0.557129
1481309341029727,0.282227,0.220215,0.625977
1481309341051831,0.260254,0.229004,0.663086
