timestamp,x,y,z
1481309332361039,0.3125,0.0625,-0.5625
1481309332384042,0.0625,-0.1875,-0.8125
1481309332399060,0,-0.5,-1.1875
1481309332421078,0.4375,-0.625,-0.9375
1481309332435581,1.625,-0.75,-0.75
1481309332460583,0.875,-0.8125,-0.375
1481309332481086,-0.8125,-1.0625,0
1481309332495094,-1.625,-1.3125,0.375
1481309332547097,-0.4375,-1.3125,0.625
1481309332547097,-0.0625,-1.375,-0.125
1481309332561098,-0.125,-1.0625,-0.3125
1481309332577101,0.8125,-0.9375,-0.5
1481309332600116,0.5,-0.8125,-0.6875
1481309332621118,-0.875,-0.75,-0.5
1481309332637119,-0.5625,-0.9375,-0.3125
1481309332660121,-0.3125,-0.875,-0.25
1481309332681129,0.5625,-0.75,-0.1875
1481309332697135,0.6875,-0.75,-0.1875
1481309332720137,0.3125,-0.375,-0.0625
1481309332741139,-0.1875,0.1875,-0.5625
1481309332757141,-1.5625,0.8125,-1.0625
1481309332780149,-0.875,0.6875,-1.0625
1481309332801159,1.4375,0.6875,-1.125
1481309332817161,2.6875,-0.1875,-0.4375
1481309332840164,2.375,-0.9375,0.25
1481309332861164,3.625,-0.9375,0.4375
1481309332877163,5.1875,0.6875,0.1875
1481309332899766,2.75,1.625,-0.9375
1481309332920806,-0.8125,1.9375,-1.9375
1481309332938736,-1.0625,2.25,-2.125
1481309332959750,1,2.1875,-1.5
1481309332981270,0.5625,1.375,-1.625
1481309332997859,-1,0.4375,-1.1875
1481309333019863,-0.25,-0.0625,-1.1875
1481309333042863,0.6875,-0.6875,-1.125
1481309333057863,1.9375,-1.3125,-0.4375
1481309333080444,4.375,-1.8125,0.625
1481309333102339,4.0625,-1.625,1.25
1481309333117240,3.5,-0.9375,1.1875
1481309333140238,-0.125,-0.4375,0.125
1481309333162241,-2.9375,0.0625,-0.3125
1481309333177240,0.5625,0,-0.6875
1481309333199762,2.9375,-0.1875,0.375
1481309333221845,1.4375,-0.75,0.5
1481309333236758,-2.8125,-1.1875,2.0625
1481309333259765,-3.625,-2.0625,2.625
1481309333281781,-2.1875,-2.6875,3.5625
1481309333297411,0.1875,-3.0625,4.6875
1481309333319482,-3.5,-2.0625,5.625
1481309333341413,-10.0625,-4.3125,3.625
1481309333357414,-8.3125,-7.6875,3.1875
1481309333379517,-0.6875,-8.625,2.125
1481309333401727,5.875,-9.5,2.4375
1481309333416729,0.375,-12.3125,3.375
1481309333439730,-1.8125,-17.1875,3.75
1481309333461732,-2,-22.125,2.125
1481309333475735,2.25,-27.125,1.0625
1481309333499265,10.1875,-32.5625,1.8125
1481309333522266,16.6875,-36.375,3.0625
1481309333536268,11.875,-40.9375,5.1875
1481309333558268,6.625,-45.4375,8.1875
1481309333582293,4,-51,13.125
1481309333596285,9.25,-55.25,17.625
1481309333618286,10.5625,-58.375,21
1481309333642288,6.75,-63.4375,25.9375
1481309333656289,2.75,-70.6875,30.8125
1481309333678290,7.625,-76.1875,35.25
1481309333702305,20.5625,-80.6875,41.1875
1481309333716305,29.75,-83.9375,47.875
1481309333738306,27.6875,-89,52.3125
1481309333762307,19.75,-93.375,57.9375
1481309333776308,20.375,-97.1875,62.3125
1481309333798817,29.125,-101.75,66.5625
1481309333821820,36.5625,-104.813,71.5
1481309333836322,32.6875,-104.5,75.375
1481309333858853,25.125,-104.313,77.8125
1481309333882328,18.0625,-105.438,79.4375
1481309333896330,13.1875,-107.625,81.6875
1481309333918833,14.375,-109.125,86.125
1481309333942335,16.375,-109.688,88.625
1481309333956337,12.875,-108.875,88.8125
1481309333979341,6.1875,-109.125,90.75
1481309334002343,-2.4375,-111.438,93
1481309334016345,-2.625,-113.688,95.9375
1481309334038849,0.0625,-114.313,101
1481309334061850,-1.0625,-114.25,100.125
1481309334084854,0.0625,-115.563,96.25
1481309334098855,0.0625,-118.375,97.125
1481309334121358,-0.1875,-120.5,101.25
1481309334136363,-0.375,-121.875,102.125
1481309334158863,2,-122.375,101.313
1481309334181367,9.25,-120.375,101.438
1481309334204369,7.4375,-117.125,102.688
1481309334218870,3.375,-114,100.563
1481309334241373,0.4375,-111.125,96.75
1481309334264376,1,-105.625,96.625
1481309334278879,3.75,-96.625,97.375
1481309334301381,3.0625,-89.375,94.25
1481309334324884,-1.4375,-84.3125,92.625
1481309334338886,-1.4375,-79.9375,93
1481309334362888,1,-75.9375,94.3125
1481309334384392,-6.5,-74.5,98.125
1481309334407395,-0.875,-66.625,97.25
1481309334421396,1.6875,-58.0625,99.8125
1481309334444900,2.9375,-46.875,102.688
1481309334458901,-8.5,-34.5,104.438
1481309334481405,-20,-24,105.188
1481309334504407,-20.625,-10.25,103.188
1481309334518908,-3.8125,8.75,104.063
1481309334540917,15.375,31.875,112.875
1481309334563919,33.5625,59,122.375
1481309334578920,39.6875,83.9375,126.75
1481309334600921,34.5625,98.6875,124.438
1481309334624435,21.1875,110.563,125.313
1481309334647022,9.0625,116.313,115.75
1481309334660944,8.375,115.938,100.188
1481309334683946,12.5625,109.75,90.1875
1481309334698945,23.1875,105.25,87
1481309334724452,40.5625,102.625,71.5
1481309334752932,39.4375,104.75,61.5625
1481309334758932,39.625,107.375,60.0625
1481309334780932,40.25,105.375,61.375
1481309334803934,39.5,101.688,67.5
1481309334818935,44.5625,102.063,69.875
1481309334849948,52.8125,103.25,70
1481309334863949,50.8125,97.3125,74.1875
1481309334879950,56.25,95.625,81.25
1481309334900951,64.375,104.688,88.6875
1481309334924459,72.4375,113.563,94.4375
1481309334939043,68.0625,109.813,93.6875
1481309334960970,68.8125,107.375,99.5
1481309334983970,81.25,114.438,99.5625
1481309334998972,94.375,117.375,96.75
1481309335021548,102.438,112.813,89.75
1481309335044078,103.625,112.188,79.5625
1481309335059058,106.625,115.063,72.875
1481309335082060,109.938,109.5,64.625
1481309335104128,111.5,102.25,59.4375
1481309335119109,118.625,102.313,56.0625
1481309335141591,123.938,107.063,49.625
1481309335164661,124.688,106.563,39.8125
1481309335178592,132.438,103.938,31.5625
1481309335201601,147.375,104.938,24.625
1481309335224674,155.375,110.5,12
1481309335239179,132.438,113.375,-1.1875
1481309335261234,120.938,110.563,-11.25
1481309335284184,145.313,115.938,-18.375
1481309335298181,157.75,128.625,-26.3125
1481309335321688,145.75,141.813,-29.875
1481309335343933,135.5,149.063,-34.5625
1481309335359015,145.313,156.25,-46.375
1481309335381029,163.125,162.188,-56
1481309335404013,164.313,170.25,-58.5
1481309335418937,164.438,177.438,-60.8125
1481309335441452,153.75,167.875,-73.375
1481309335463452,147.25,151.938,-85.3125
1481309335478454,143,149.875,-87.5
1481309335501455,153.875,143.188,-90.875
1481309335523962,166.875,134.5,-93.375
1481309335539090,174.75,121.688,-107
1481309335561038,139.125,114.75,-117.625
1481309335584021,106.75,107.75,-119.5
1481309335599020,130.063,104.625,-130.563
1481309335621600,143.063,102.75,-144.188
1481309335644126,131.25,92.1875,-155.625
1481309335659162,113.813,82.1875,-163.5
1481309335681129,104.625,76.625,-173.063
1481309335712128,100.313,69.3125,-185.75
