timestamp,x,y,z,w
1481309332361039,0.179626,0.109741,-0.212463,0.954163
1481309332384042,0.179626,0.109802,-0.212463,0.954163
1481309332399060,0.179565,0.109924,-0.212708,0.954102
1481309332421078,0.179565,0.109985,-0.212708,0.954102
1481309332435581,0.17981,0.109863,-0.212891,0.954041
1481309332460583,0.17981,0.109924,-0.212891,0.954041
1481309332481086,0.179626,0.109863,-0.212952,0.954102
1481309332495094,0.179321,0.109802,-0.212891,0.954163
1481309332547097,0.179199,0.10968,-0.21283,0.954224
1481309332547097,0.179138,0.109558,-0.212891,0.954224
1481309332561098,0.179077,0.109497,-0.213013,0.954224
1481309332577101,0.179077,0.109497,-0.213013,0.954224
1481309332600116,0.179077,0.109558,-0.213013,0.954224
1481309332621118,0.179077,0.109558,-0.213013,0.954224
1481309332637119,0.179077,0.109619,-0.213013,0.954163
1481309332660121,0.179077,0.109619,-0.213013,0.954163
1481309332681129,0.179077,0.109619,-0.213013,0.954163
1481309332697135,0.179077,0.10968,-0.213013,0.954163
1481309332720137,0.179138,0.10968,-0.213013,0.954163
1481309332741139,0.179138,0.10968,-0.213013,0.954163
1481309332757141,0.178955,0.110107,-0.213135,0.954102
1481309332780149,0.178711,0.110474,-0.213318,0.954102
1481309332801159,0.178894,0.110657,-0.213562,0.953979
1481309332817161,0.17926,0.110901,-0.213745,0.953857
1481309332840164,0.179443,0.110779,-0.213806,0.953796
1481309332861164,0.17981,0.110474,-0.213867,0.953735
1481309332877163,0.180664,0.110352,-0.213928,0.953613
1481309332899766,0.181213,0.110535,-0.21405,0.95343
1481309332920806,0.181152,0.110962,-0.214294,0.953369
1481309332938736,0.180908,0.111511,-0.2146,0.953247
1481309332959750,0.181091,0.111938,-0.214783,0.953125
1481309332981270,0.181274,0.112244,-0.215027,0.953003
1481309332997859,0.181213,0.112427,-0.215149,0.953003
1481309333019863,0.181213,0.112488,-0.215332,0.952942
1481309333042863,0.181335,0.112549,-0.215576,0.95282
1481309333057863,0.18158,0.112244,-0.215759,0.95282
1481309333080444,0.18219,0.111694,-0.215759,0.952759
1481309333102339,0.182983,0.111084,-0.215637,0.952698
1481309333117240,0.183716,0.110657,-0.215515,0.952637
1481309333140238,0.183838,0.110596,-0.215454,0.952637
1481309333162241,0.183472,0.11084,-0.215454,0.952698
1481309333177240,0.183472,0.11084,-0.215454,0.952637
1481309333199762,0.184204,0.11084,-0.215454,0.952515
1481309333221845,0.184631,0.110779,-0.215393,0.952454
1481309333236758,0.184326,0.110779,-0.215027,0.952576
1481309333259765,0.183777,0.110718,-0.2146,0.95282
1481309333281781,0.18335,0.110413,-0.21405,0.953064
1481309333297411,0.183472,0.109741,-0.213379,0.953247
1481309333319482,0.183167,0.109314,-0.212402,0.953613
1481309333341413,0.181458,0.108826,-0.211731,0.954102
1481309333357414,0.179321,0.107727,-0.211365,0.954712
1481309333379517,0.178467,0.106018,-0.211243,0.955078
1481309333401727,0.179016,0.103943,-0.211243,0.955261
1481309333416729,0.178467,0.10144,-0.21106,0.955627
1481309333439730,0.177246,0.0982666,-0.210938,0.956238
1481309333461732,0.175781,0.0942993,-0.211243,0.956848
1481309333475735,0.1745,0.0896606,-0.211975,0.957336
1481309333499265,0.174194,0.0838623,-0.212952,0.957703
1481309333522266,0.175537,0.0770874,-0.213806,0.957825
1481309333536268,0.176331,0.0699463,-0.214355,0.95813
1481309333558268,0.176147,0.0623169,-0.214478,0.958679
1481309333582293,0.175171,0.0541382,-0.21405,0.959412
1481309333596285,0.174744,0.0446777,-0.212952,0.960266
1481309333618286,0.174683,0.0344849,-0.211365,0.960999
1481309333642288,0.174194,0.0236206,-0.209045,0.961914
1481309333656289,0.172363,0.012085,-0.206238,0.963074
1481309333678290,0.170593,-0.000671387,-0.202881,0.964172
1481309333702305,0.170898,-0.0149536,-0.198547,0.964966
1481309333716305,0.173035,-0.0304565,-0.193054,0.965332
1481309333738306,0.175049,-0.046875,-0.186951,0.965515
1481309333762307,0.175171,-0.0636597,-0.180054,0.96582
1481309333776308,0.174744,-0.0812378,-0.172546,0.965942
1481309333798817,0.175537,-0.100952,-0.164001,0.965393
1481309333821820,0.177429,-0.121521,-0.154541,0.964294
1481309333836322,0.178589,-0.142029,-0.144409,0.96283
1481309333858853,0.178345,-0.162292,-0.133972,0.961182
1481309333882328,0.176697,-0.182556,-0.123474,0.959229
1481309333896330,0.174011,-0.203003,-0.112732,0.95697
1481309333918833,0.171204,-0.223755,-0.101196,0.954102
1481309333942335,0.168518,-0.244629,-0.0891113,0.950684
1481309333956337,0.165222,-0.265259,-0.0770264,0.946777
1481309333979341,0.160706,-0.285706,-0.0649414,0.942505
1481309334002343,0.154419,-0.306274,-0.0529175,0.937805
1481309334016345,0.147827,-0.327087,-0.0404663,0.932434
1481309334038849,0.141235,-0.348022,-0.0269775,0.926392
1481309334061850,0.134399,-0.368835,-0.0136719,0.919617
1481309334084854,0.12793,-0.389465,-0.000976563,0.912109
1481309334098855,0.121277,-0.410217,0.0118408,0.903809
1481309334121358,0.114258,-0.431152,0.0252075,0.894653
1481309334136363,0.106995,-0.452087,0.0386963,0.884644
1481309334158863,0.100098,-0.472778,0.0522461,0.873901
1481309334181367,0.0941162,-0.492676,0.0664063,0.862549
1481309334204369,0.0877686,-0.511841,0.0805664,0.850769
1481309334218870,0.0808716,-0.530212,0.0939941,0.838745
1481309334241373,0.0736694,-0.547791,0.106689,0.826477
1481309334264376,0.0664063,-0.564331,0.119446,0.814148
1481309334278879,0.0588989,-0.579895,0.132751,0.801636
1481309334301381,0.0516357,-0.593872,0.145447,0.789612
1481309334324884,0.0436401,-0.606934,0.15741,0.777771
1481309334338886,0.0355225,-0.619019,0.169373,0.766052
1481309334362888,0.0275269,-0.630249,0.181641,0.754333
1481309334384392,0.0180664,-0.641235,0.19342,0.74231
1481309334407395,0.00891113,-0.651123,0.205811,0.730469
1481309334421396,-0.000427246,-0.659424,0.218567,0.719238
1481309334444900,-0.0100098,-0.665344,0.231689,0.709595
1481309334458901,-0.0217285,-0.669922,0.243469,0.700989
1481309334481405,-0.0354004,-0.673462,0.253906,0.693298
1481309334504407,-0.0494995,-0.675171,0.263794,0.687073
1481309334518908,-0.062561,-0.673645,0.275574,0.682861
1481309334540917,-0.0755005,-0.668091,0.290283,0.680969
1481309334563919,-0.0886841,-0.65802,0.307556,0.68158
1481309334578920,-0.102783,-0.644165,0.325439,0.684509
1481309334600921,-0.118042,-0.628479,0.341858,0.688599
1481309334624435,-0.13562,-0.611633,0.356445,0.693115
1481309334647022,-0.153992,-0.594421,0.368286,0.698059
1481309334660944,-0.170898,-0.577087,0.378052,0.70343
1481309334683946,-0.186035,-0.560181,0.387085,0.708313
1481309334698945,-0.198914,-0.542908,0.396484,0.713074
1481309334724452,-0.207825,-0.525146,0.405396,0.718811
1481309334752932,-0.216064,-0.507202,0.41272,0.725037
1481309334758932,-0.224243,-0.488525,0.419678,0.731384
1481309334780932,-0.232239,-0.469788,0.426697,0.737061
1481309334803934,-0.240295,-0.451111,0.434326,0.741638
1481309334818935,-0.247803,-0.431824,0.442322,0.745911
1481309334849948,-0.254211,-0.411377,0.450806,0.750244
1481309334863949,-0.260864,-0.391724,0.459534,0.753174
1481309334879950,-0.266541,-0.372314,0.468872,0.75531
1481309334900951,-0.272217,-0.349487,0.479492,0.757507
1481309334924459,-0.277771,-0.324158,0.490601,0.759583
1481309334939043,-0.283508,-0.299194,0.501343,0.760742
1481309334960970,-0.289001,-0.274109,0.512573,0.76062
1481309334983970,-0.293335,-0.246887,0.523499,0.760864
1481309334998972,-0.295898,-0.217712,0.534119,0.761353
1481309335021548,-0.296509,-0.188354,0.543884,0.762085
1481309335044078,-0.296326,-0.159363,0.551819,0.763062
1481309335059058,-0.295654,-0.129761,0.558289,0.764221
1481309335082060,-0.29364,-0.100586,0.563599,0.765503
1481309335104128,-0.290344,-0.0723877,0.568115,0.766602
1481309335119109,-0.285645,-0.0436401,0.571716,0.767822
1481309335141591,-0.280518,-0.0140991,0.57373,0.769348
1481309335164661,-0.274902,0.0151367,0.573914,0.771179
1481309335178592,-0.267761,0.0444336,0.572632,0.77356
1481309335201601,-0.258301,0.0748901,0.56958,0.776611
1481309335224674,-0.248169,0.106384,0.563965,0.780396
1481309335239179,-0.241394,0.13562,0.556213,0.783508
1481309335261234,-0.236023,0.16272,0.546936,0.786499
1481309335284184,-0.227722,0.192261,0.535217,0.790344
1481309335298181,-0.218994,0.224365,0.520813,0.793945
1481309335321688,-0.212952,0.257019,0.505188,0.795776
