timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1481309332965809,1,1,10,0,-2,1,-3,1
1481309332973810,-2,-2,-9,-5,-1,1,-1,-1
1481309332973810,-1,-1,-4,-2,-3,-2,-2,2
1481309332988770,-1,-1,0,0,1,-2,0,-1
1481309332988770,-1,-1,-1,0,0,-3,-1,-2
1481309332996929,-3,-2,-1,-5,1,2,-1,-1
1481309332996929,0,0,-3,2,-1,-3,-4,1
1481309333003932,-1,0,-1,3,0,1,0,1
1481309333003932,1,0,-3,1,0,-6,0,0
1481309333019863,0,-3,-3,4,-1,1,-3,-1
1481309333019863,-1,0,-3,-13,1,1,-1,0
1481309333025866,0,-1,-2,11,-2,-6,-2,0
1481309333025866,-1,-2,-5,5,7,3,-1,-4
1481309333041949,1,2,0,0,-3,-3,-1,0
1481309333041949,-2,0,0,-1,-3,1,-1,-1
1481309333048884,0,-3,0,-9,-5,-3,-3,0
1481309333048884,-2,0,-5,-1,0,1,-1,0
1481309333056933,0,-2,6,8,2,3,1,-1
1481309333056933,-2,-4,-15,-8,-2,-3,-3,-1
1481309333063933,1,2,0,3,1,-2,1,0
1481309333063933,-1,-2,-1,-2,-3,-3,-1,-1
1481309333079444,-1,-2,-9,-7,1,1,-4,1
1481309333079444,0,2,4,4,2,-2,0,0
1481309333086443,-2,0,6,-2,-2,0,0,2
1481309333086443,-1,-4,-11,1,-4,7,2,-2
1481309333102339,0,2,4,2,-2,-5,-1,-1
1481309333102339,0,-2,0,3,0,0,1,-2
1481309333108299,-2,-2,-6,-28,-4,2,2,1
1481309333108299,-1,-1,1,25,8,-1,1,0
1481309333116305,-2,-1,0,-11,-3,0,-1,-2
1481309333116305,1,-3,2,4,-1,3,0,-1
1481309333123310,1,0,-2,3,1,-1,0,-2
1481309333123310,1,0,1,-3,-2,-3,0,0
1481309333139240,-3,-1,-2,-3,1,-5,-1,-1
1481309333139240,1,0,5,10,4,-2,-1,-1
1481309333146310,-2,-3,0,-10,-3,0,-2,-1
1481309333146310,-1,0,5,2,1,-1,1,0
1481309333162241,-1,-5,-8,14,-2,-1,-5,-2
1481309333162241,-2,1,4,-11,-2,1,1,0
1481309333169240,-1,0,-2,7,1,-1,-2,-2
1481309333169240,1,1,1,-2,-1,1,2,1
1481309333177240,1,1,7,-8,0,3,2,1
1481309333177240,0,-1,-4,4,1,-4,1,1
1481309333183750,-2,-3,-2,8,-1,-1,1,-2
1481309333183750,-5,-1,-4,-8,-1,-1,-3,-1
1481309333199762,1,-1,0,4,1,-2,3,0
1481309333199762,3,2,0,5,-3,6,0,-1
1481309333213829,0,1,-1,1,-2,0,-2,1
1481309333213829,-1,1,0,-5,-5,3,-1,-2
1481309333222758,-1,-1,-2,-2,-1,-2,-2,-1
1481309333222758,-3,-2,-3,-1,-1,-4,-1,-2
1481309333228757,-1,-1,-3,4,-2,-3,-2,-1
1481309333228757,-2,1,0,-5,3,-2,0,0
1481309333237758,-2,-1,0,9,-2,-2,-1,0
1481309333237758,-1,-2,-2,-5,-2,1,-1,0
1481309333243762,0,2,-1,0,1,-8,-1,-2
1481309333243762,-3,-3,-3,-6,-3,4,-3,-2
1481309333259765,-2,1,-1,5,0,1,-2,0
1481309333259765,-1,-3,-1,-3,-2,2,-1,0
1481309333265854,0,-3,-3,-16,-4,-1,-2,-2
1481309333265854,0,0,-3,2,0,-5,-2,2
1481309333282782,0,2,-1,-24,-3,-1,2,-1
1481309333282782,1,1,1,22,3,0,-1,-2
1481309333288782,-4,-2,-2,4,15,-7,-2,-1
1481309333288782,-1,-3,-7,-23,-7,-1,2,0
1481309333297411,-2,0,0,-6,-1,2,3,1
1481309333297411,2,0,-1,-35,4,2,1,-2
1481309333303411,-1,-1,3,5,-2,2,-1,-2
1481309333303411,-1,-2,-1,9,4,-2,-2,-1
1481309333320414,-1,0,-2,-1,-8,-5,-6,-1
1481309333320414,-1,-1,-3,-4,-3,-5,-2,-1
1481309333326417,0,0,-7,-9,-4,-2,1,-1
1481309333326417,-2,-1,7,12,2,-5,-3,-1
1481309333342416,2,0,-4,-15,-8,-5,-1,0
1481309333342416,-3,-2,-3,0,-4,-1,-3,-1
1481309333348484,1,-1,-1,-2,-4,-1,0,1
1481309333348484,0,-1,-3,-3,-10,-3,0,-1
1481309333357414,-1,-3,2,13,8,-2,0,-1
1481309333357414,-4,0,-5,-16,-6,-6,-2,1
1481309333371417,0,-2,2,20,7,-2,-3,-4
1481309333371417,-1,1,-1,-13,-2,1,0,-1
1481309333380026,-1,-1,-1,43,4,3,4,0
1481309333380026,-6,-5,1,-14,0,-3,-5,-4
1481309333386528,-1,-1,-1,20,-1,2,0,-3
1481309333386528,-1,-3,0,-5,-3,1,1,0
1481309333402726,2,1,-4,-26,0,2,0,-1
1481309333402726,0,0,4,10,-10,-1,1,0
1481309333408728,-1,1,3,-2,2,1,1,1
1481309333408728,0,0,-4,5,9,-1,-1,-1
1481309333417727,0,-1,4,-7,-4,-2,-1,0
1481309333417727,-3,0,7,13,-7,-3,2,-1
1481309333430728,-2,-5,-14,-23,2,6,2,0
1481309333430728,4,3,12,18,4,-1,0,-3
1481309333439730,-2,0,7,-10,3,9,1,-1
1481309333439730,0,-4,-1,14,7,6,0,-3
1481309333445731,1,2,13,-10,-3,-2,0,-1
1481309333445731,-1,-2,-4,7,-4,0,-2,-2
1481309333462730,-4,-4,-11,12,-1,-4,-3,-2
1481309333462730,1,1,5,-5,-2,-3,0,2
1481309333468730,-3,-2,-11,-1,-7,2,-2,-1
1481309333468730,-2,-2,-4,-10,-3,3,-1,0
1481309333492258,-2,0,3,-2,-2,0,0,-3
1481309333492258,-1,1,-7,4,2,-1,0,-1
1481309333492758,-4,-1,3,-8,-5,0,-2,1
1481309333492758,-1,-3,-16,3,0,10,1,-1
1481309333500267,-1,-2,8,8,-2,-6,-4,-4
1481309333500267,3,1,-8,-9,-3,-2,0,-1
1481309333506265,0,-2,-7,3,-1,0,-1,-2
1481309333506265,-2,1,7,4,-6,-7,-1,-1
1481309333522266,-3,-3,-7,3,7,4,-2,-2
1481309333522266,-4,-4,-1,-20,-3,1,1,-1
1481309333528267,0,-1,1,-6,-8,-7,0,-1
1481309333528267,2,-1,2,15,13,-6,1,1
1481309333543269,0,-3,-6,-9,-9,0,-3,1
1481309333543269,-2,1,-2,12,3,-1,1,-1
1481309333551270,0,2,5,-9,-5,2,-2,1
1481309333551270,-2,-1,3,-6,-5,-3,0,-1
1481309333567271,-1,-2,-7,-4,1,4,2,0
1481309333567271,1,-2,-1,12,3,1,0,0
1481309333567271,-2,0,11,-5,0,-1,-3,-1
1481309333567271,-3,-6,-30,-8,-6,3,-1,2
1481309333582777,1,0,4,1,1,2,0,-1
1481309333582777,-1,1,-3,-3,0,-2,-3,-1
1481309333588777,-2,-1,0,3,-4,0,-1,-2
1481309333588777,1,3,13,4,-2,-1,-1,-2
1481309333603285,0,-1,-2,-22,12,-7,-2,-1
1481309333603285,0,-2,-6,7,1,-3,0,1
1481309333611287,0,-1,3,1,1,3,-1,1
1481309333611287,-1,-2,0,0,-4,-9,-3,-2
1481309333627286,0,0,2,11,-7,6,1,0
1481309333627286,-1,-1,7,-3,2,0,-3,-4
1481309333627286,-3,-2,-5,5,10,0,0,1
1481309333627286,-2,-1,0,-16,-6,-4,0,-2
1481309333642288,-1,0,0,11,2,-2,-1,0
1481309333642288,-2,-3,-5,-12,-9,-5,-3,-2
1481309333648288,1,1,-1,4,-2,2,0,-1
1481309333648288,0,-2,1,-6,3,6,3,0
1481309333663289,-1,0,1,0,2,-4,-1,-1
1481309333663289,0,-1,-8,-9,2,-7,-3,0
1481309333671289,1,-2,-8,14,2,3,2,0
1481309333671289,-1,0,5,-4,-3,1,-4,-1
1481309333686796,-2,-1,3,-2,0,-2,0,0
1481309333686796,0,-4,0,-4,-1,-1,-2,-1
1481309333687797,0,-1,6,13,-3,2,1,-1
1481309333687797,-1,-1,-8,-5,3,-2,-1,0
