timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1481268172137617,7,2,0,2,0,2,-1,5
1481268172146644,-2,-1,-3,-2,-3,-2,-5,-2
1481268172146644,-1,1,-3,1,-4,-1,2,0
1481268172147582,8,8,8,10,10,10,3,4
1481268172147582,3,7,2,11,9,6,4,4
1481268172160659,-9,-5,-7,-2,-5,-8,0,-9
1481268172160659,3,3,1,-5,2,0,-3,3
1481268172167644,2,4,2,4,6,-2,-1,3
1481268172167644,-6,-9,-11,-7,-8,-2,0,-4
1481268172182582,-1,-5,-1,-4,-9,-6,-5,-5
1481268172182582,6,3,4,1,5,4,6,6
1481268172189661,-1,-4,-4,1,2,-2,-2,-4
1481268172189661,-2,-1,-5,-3,3,-1,-5,-5
1481268172206094,3,7,-2,4,8,7,2,7
1481268172206094,-2,-1,3,0,-2,4,2,-6
1481268172208157,-4,0,-1,5,5,-4,0,-2
1481268172208157,1,4,4,5,4,2,5,4
1481268172220095,5,2,3,5,6,2,0,-1
1481268172220095,-4,-5,-8,-3,-4,-7,-5,-3
1481268172227104,-4,0,1,0,-1,2,5,2
1481268172227104,2,-4,3,-5,-7,-2,-2,4
1481268172243173,-7,-3,-7,-6,-10,-5,-7,-6
1481268172243173,1,2,-3,-4,-1,-3,0,-5
1481268172250148,2,-4,1,-2,0,2,1,-1
1481268172250148,1,-1,-6,-11,-2,-11,0,-5
1481268172266108,0,-2,-3,1,-3,2,-2,1
1481268172266108,-1,6,7,6,4,6,3,7
1481268172268142,-1,5,2,4,6,5,4,4
1481268172268142,-5,-2,-4,-1,3,0,-5,-3
1481268172280120,1,1,6,11,13,8,7,2
1481268172280120,5,4,0,0,2,-1,7,3
1481268172287107,-8,-9,-11,-8,-5,-7,-2,-7
1481268172287107,-5,-5,-3,-8,-7,-3,-5,-6
1481268172303110,-3,5,3,-6,-5,-2,2,-3
1481268172303110,-8,-11,-6,-20,-17,-12,-7,-10
1481268172309651,-5,-2,1,-2,-4,-4,-3,-4
1481268172309651,7,8,7,9,11,6,5,2
1481268172326165,6,7,4,5,4,0,0,-1
1481268172326165,-6,3,-1,3,2,-1,-6,-5
